id;best_1;avg_1;worst_1;best_2;avg_2;worst_2;best_3;avg_3;worst_3;best_4;avg_4;worst_4;best_5;avg_5;worst_5;best_6;avg_6;worst_6;best_7;avg_7;worst_7;best_8;avg_8;worst_8;best_9;avg_9;worst_9;best_10;avg_10;worst_10
294;172383,6277497205;183587,9478089855;205722,61298571408;169182,71973561714;182188,7306796719;205803,1633849494;166167,91841529077;179887,91578416183;199305,83455773813;166004,32986769514;176928,97108972893;198147,21339415276;158685,78383603314;166536,602604891;185935,69924139392;166556,89153414115;178853,00709949684;194791,4663874268;181172,99648156625;192237,43057893554;217893,27175144857;152316,97424339096;162937,703848772;182033,26390446693;132647,23511258265;141531,54525045084;155705,43100133137;164153,52343438656;177292,8433890243;198076,46677590688
295;171369,08588461386;182873,87341579364;202454,953772597;168891,42690080652;181875,29660905;204771,68418866675;169183,70436791913;179982,0975202028;196708,82989245284;167077,61165980104;177550,51702194617;191089,8373089931;157268,893898235;166155,85530909538;183953,58905192924;165952,9045443823;177843,065863397;194315,20150568493;181860,91245843554;191712,0343732093;215194,85573094853;153603,87523237793;162889,44468892456;178206,6912892538;133257,61073558507;141746,67816391547;155214,3058187358;164153,52343438656;177984,57027281576;204069,9760752547
296;171369,08588461386;182792,29576049457;199572,380178313;168358,48450142477;181167,56091216172;204666,4642633617;169183,70436791913;179245,60586747897;191877,8339463712;167828,39778785058;177653,72367017754;197594,11304625988;157425,5566395986;166487,84842757887;183007,56015127987;164482,87623048443;177507,45350598177;197225,8480103247;182985,86467747652;191698,88776640323;209996,78690929813;153603,87523237793;162784,36431962345;181101,15825946868;133771,38782566832;141435,22032838;158653,0307080299;164153,52343438656;178247,86236409895;197558,79606133487
297;171369,08588461386;182506,73181012808;199247,17319129288;167801,49625265834;181365,22829457588;203215,39823432776;169170,35708810095;178751,2987680707;198701,76724066297;164046,13106247137;177828,802307842;195858,36697995773;156509,93890280844;167033,45864533723;183308,21990801964;164482,87623048443;177344,67830069957;196158,4098117778;179326,60595840303;191679,3030381619;211147,51541969785;151354,96412651177;162413,31198321888;178523,50062857012;133460,17554660884;140985,09312755943;159118,81779768417;164153,52343438656;178924,5820858318;200101,2588752462
298;171264,91721128495;182314,0865371898;198776,90041902103;167801,49625265834;179900,20297993798;201320,92806234647;169394,940801003;178955,90618321864;195321,52322816115;163180,06206970013;177654,3312771485;195422,03586289263;153679,54011028993;166944,18505971637;181006,8963835268;165413,4586224121;177074,1824150779;195821,70777221353;181593,35601438783;191129,68045896007;210680,41389231893;153603,87523237793;162454,0637059137;180205,03553813233;134449,4785825143;141002,16328655268;156278,69031783871;161301,0158007715;178920,365133226;199945,1732565164
299;171264,91721128495;182216,0110102857;200626,7467791275;167801,49625265834;179429,3009479709;202569,21423656028;169394,940801003;179126,0942442513;197031,6717641353;163180,06206970013;177523,9156578515;198567,03360628494;153679,54011028993;167172,3371371458;184547,32794380753;161884,88858260278;176593,81831901445;193565,74458839954;181593,35601438783;190992,29579698158;208379,15502250718;150155,74236608628;162879,10397743568;181034,09130483214;132410,19137296051;140736,30221104747;155818,32808802024;161301,0158007715;179206,9751975549;197687,73864301905
300;172383,6277497205;182336,73586989695;202413,6773852854;167801,49625265834;178673,1808051263;203236,20779740185;164631,40766978092;179604,28116893212;195608,17662249916;163887,19556073315;177418,3726672637;197573,42633456262;153679,54011028993;167354,11280087582;184026,54753107988;162232,2137915349;176094,02440106802;192286,79840262877;181593,35601438783;191015,72184314294;207369,18169613834;148245,05088064718;163135,9703886815;182015,7786325329;133537,97136091045;140040,03111167456;155311,61741478194;165916,89692047314;179084,97363854176;203172,68761448114
301;172383,6277497205;182609,91770413757;203930,14838167958;167801,49625265834;178478,57986702837;199023,45083855712;169202,65003748419;179864,05309882085;195501,88134840224;163406,0798674314;177228,6833325721;204784,81949074767;153325,79321380382;166897,49570044797;183743,1706174017;162232,2137915349;175791,49001079943;191725,5352095402;180457,4613461412;191235,7465464051;209671,08445305348;148245,05088064718;162613,69431424272;181943,00806057648;133774,31569928676;140081,39963958965;154666,89485073174;165941,7882259534;178370,1672691452;202097,70978791534
302;172383,6277497205;182364,81105761876;199552,39687352188;166643,64544377825;178077,88740719846;199319,27344625202;167638,56695554624;179664,72771689002;196557,18064265573;163406,0798674314;176659,8518714081;198015,11447616157;155766,18018468944;166498,50501525725;188811,92500367208;163668,75831563823;176346,91891075467;193337,08534709478;179050,75616980734;190948,9107807166;206892,1807474644;151285,9722890853;162757,09297066918;183321,7975325028;133956,67612069327;140027,23369707307;153351,37350262908;163931,86201046017;178634,60179892558;202910,92856527155
303;170967,21145203753;181886,59658958096;196888,81768516853;164739,00487853828;178393,92316146166;201691,6982051795;167638,56695554624;179840,64641199217;195378,33539601555;163406,0798674314;176943,49098289723;195581,0136900613;157088,84082461888;166247,02501652704;187967,60351853323;163417,57850868403;175464,57359576583;190355,2997764182;179050,75616980734;190741,91480706376;210569,5444405332;152422,39142098164;163812,1955294908;182357,3150805696;133270,11891983662;139718,0855319429;158568,60261051537;165096,7036971413;178163,31375631952;197580,9424207917
