id;best_1;avg_1;worst_1;best_2;avg_2;worst_2;best_3;avg_3;worst_3;best_4;avg_4;worst_4;best_5;avg_5;worst_5;best_6;avg_6;worst_6;best_7;avg_7;worst_7;best_8;avg_8;worst_8;best_9;avg_9;worst_9;best_10;avg_10;worst_10
11;119186,14517706822;139512,58408999842;164904,42396247332;123034,99617013804;141093,37716123622;164651,82485151957;127115,96764075638;142878,94590048556;165399,223501053;125672,29061188009;141621,6183996176;166513,8362364523;126261,58905033968;143404,11137566346;171673,61484609297;118645,18667315222;136936,61327229498;162214,4971300257;121982,59777528398;139575,7358098273;163077,56543451283;126962,240086411;144817,1905114211;168516,9644302351;128170,13556719698;145863,81035476318;163431,9223765368;129598,62763500531;143560,1977857532;163539,48850858578
12;119616,29403420992;137080,49257053688;159789,85861136447;122410,64667578595;138459,3183305356;161583,6425538914;127115,96764075638;141923,1109576784;164425,2170195312;123658,88349474854;140061,39051667845;160383,022573793;128081,52384727773;142507,5029690445;162314,43980234955;118645,18667315222;135507,65108703898;154822,83524910526;121982,59777528398;137318,23152339194;159310,47682024923;126962,240086411;144052,19990630652;167993,07281248918;128170,13556719698;144864,4641835927;164510,3171624918;129598,62763500531;142593,1630895464;161815,38968468114
13;119616,29403420992;135167,456472716;158988,37942490028;122568,15428016396;136003,71824628668;167826,1676970949;127115,96764075638;141418,71576872995;163780,07195118797;123881,96043294977;139172,37861113437;161200,40514687085;127430,58365699043;141525,9581229799;165472,3819593117;118645,18667315222;134371,600132708;152680,22827143612;121982,59777528398;135697,4271217749;154565,29213247358;126962,240086411;143532,4470006409;168750,6196984621;127232,17356337632;143173,19492491733;164659,70766934482;123574,20119783572;142220,37928054508;167167,34789762946
14;116542,56165663294;133486,11271917913;154905,99081375633;120185,2885333641;134649,02979389712;155682,33074198128;122356,49318829224;140285,98908960217;159731,53895639942;122398,68640291129;137564,76024525135;161200,40514687085;125186,50555460737;141302,58945461793;162915,38223936738;118645,18667315222;133032,47796168717;150748,31175564867;123004,071588355;134860,159090668;147282,57084307677;124605,53983595032;142817,4000841007;167569,23801328716;127159,16386051416;141782,59221505772;161847,88229685597;123574,20119783572;141498,70412239837;161518,56845745695
15;112494,11454521595;130088,19160576766;151588,9329528773;118420,42832115469;132617,99872485426;152505,32023717024;120677,26542054818;139246,8462149096;155581,2303735023;121540,56419634112;136184,95123812248;159426,66854284477;125276,01497375805;139559,99819299893;157159,2387511264;118645,18667315222;132219,2386025676;154235,00008780573;123504,40406748999;133715,49198814074;150486,88548929527;123730,54212699742;141261,4755068281;162467,424222442;127097,41892640047;140862,72415971218;160802,51394436587;123596,79229319768;139737,08728329348;162709,80110739043
16;112494,11454521595;127834,75059491108;150832,70574195034;118420,42832115469;131434,33828579512;154492,22126616215;119884,82749553648;137960,54352987531;157298,0956830564;121088,80881147465;135066,66426804644;151637,01256886323;125276,01497375805;137662,8897774373;157078,72729950183;116218,11213185999;131220,5100249198;152572,7463723062;122822,83790309435;133061,31903231287;151492,77301623477;123014,11097172163;140517,60268797187;156187,57712873974;128411,84453559763;139611,7653363704;162893,05315633953;123058,77875026019;138898,12646587574;162585,34983590184
17;112494,11454521595;127049,31535752468;147418,75379104412;118420,42832115469;130624,80679134093;146570,80581153175;119884,82749553648;136161,27759144417;160516,58094467144;120262,12309299175;133685,46140230156;149128,7406057223;121824,80280322528;136480,6866886345;154855,03204551453;116218,11213185999;130585,70982707081;150140,83886542454;120184,9532583792;132262,2217631893;153344,22940201501;123014,11097172163;137605,2133547638;159725,25120251504;124788,36936726348;137874,56239499553;159511,96934713298;125137,1269396264;137858,64453374807;153561,7763328344
18;114223,86427758711;126496,09024498145;146996,40405875316;118420,42832115469;129288,08094015138;155724,13453812743;118740,45430801349;134796,16595860172;159858,4182796058;119292,14663131423;132232,15624826716;149042,65894808085;121824,80280322528;134942,0611329869;152054,213642973;116218,11213185999;129037,0690479365;152060,93678700583;120184,9532583792;131960,47125996323;145854,59510280786;123014,11097172163;136165,42931080522;156703,36393919698;120189,8795804263;136549,05154255108;157914,00895309748;123190,70302916394;136600,9233212409;155357,13983753926
19;114223,86427758711;125770,33667526534;147115,8075940134;117610,51332312947;128967,3299835584;156220,2769553518;118740,45430801349;134032,2764858458;153971,34808462756;115626,34723444974;130513,97672704417;149512,14947854678;119619,42899109286;134066,2330572582;153852,88861540036;110212,4934623993;128316,29075594785;149152,61555567718;120184,9532583792;131236,10055607272;148385,98121858385;120227,56002662558;134815,63875992942;153311,37154624469;120189,8795804263;135105,86104168146;153643,42831791056;122607,3529771035;135686,10404106503;152379,81303363908
20;114223,86427758711;124903,31254628266;144701,00976287643;116609,88626464254;128273,91501740264;151549,34660944625;117482,3938645775;133294,8061201903;151343,6832285355;113307,46644050139;129553,9464902204;147538,77927141756;119173,5129897513;133297,98935738095;151387,583263365;110212,4934623993;127666,40746096999;146811,62021286815;120184,9532583792;130965,39608288866;146614,29332489774;120154,63550975262;133265,40012990474;153258,46197876264;117922,0048140107;134683,9450852776;153535,51157494064;121310,25964088902;134676,26587389226;160326,36248741465
